,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
301,303,Harvey Tulcensky ,Untitled,,MoMA,America,False,drawing,"drawing, ballpoint pen on paper",28 x 22 cm,2002,"repetition of parallel lines very close together, handmade variation & use of 2 colors in 2 areas, quality of line / touch / mark & placement",4,2,3,4,2,1,2,0,5,5,0,0,False,False,False,False
302,304,Sue Williams,Chicken Leg in Yellow,,303 Gallery also MoMA,America,False,painting,"painting, oil on canvas",178 x 203 cm,2017,"all over, all directions, spillage, orientation, almost chaos, semi- representational, ranging from splotches to tiny odd drawings, different sizes, unfixed space, unmoored images, what is going on",2,3,0,1,1,4,4,3,5,5,3,0,False,False,False,False
303,305,Barry Le Va ,Pyramid: Center Points and Lengths (Through Points of Tangency): 3 Layers Separately Overlaid,,MoMA,America,False,drawing,"drawing, ink on colored paper",107 x 320 cm,1974,"repetition & system to place lines, 2 colors, system to make work, animates space between almost signature-like marks, diagram-like, the shorter lines are so short that in some ways they read as points, puzzle as to what this is and how it was made",4,2,1,0,1,3,3,5,5,0,0,0,False,False,False,False
304,306,Ant Farm,Cadillac Ranch Show,,MoMA,America,False,photography,"photo, still from video (color, sound)",16:40 min video,1974,"repetition & placing of utilitarian objects in way they can't be used, series of 10 different model Cadillacs (each features one step in evolution of the tail fin 1949-1963) half buried in ground. Consumerism, absurdity, why, how",4,1,0,0,0,5,4,0,0,5,5,3,False,True,False,False
305,307,James Turrell ,Frontal Passage,,MoMA,America,False,installation,"installation, light",392 x 686 x 1036 cm,1994,"use of colored light, can't work out physical depth of space, can't see what is making the light, only the effect that it gives: light is given a physical presence",1,0,5,5,0,0,1,0,0,5,0,5,False,False,False,False
306,308,Joan Waltemath ,Untitled,,MoMA,America,True,drawing,"drawing, pencil & colored pencil on diazotype",107 x 122 cm,1994,"slim grid, off center, select rectangles, creating spatial effect, restrained selection, seeming notations / measurements around outer edge, spatial depth & complexity from different values, shapes, placements",4,3,4,1,0,1,1,3,5,5,0,3,False,False,False,True
307,309,Raoul De Keyser,Forcalquier A1,,MoMA,Belgium,False,painting,"painting, watercolor on paper",30 x 21 cm,1993,"thin, washes simple 3 line format, not straight lines, spare, subtle confounding abstractions, economical means, overpainting lines, washy texture of paint",0,0,5,5,1,0,1,0,5,5,0,0,False,False,False,False
308,310,David Ireland,"Untitled from A variation on 79, side to side passes on a dumball, dedicated to the memory of John Cage 1912-1992",conceptual,MoMA,America,False,print,"print, one from a portfolio of five etching & drypoints",37 x 90 cm,1993,"overlaying wandering thin lines on top of straight music line paper, smudgedness, difference between thinness of lines & sense of result of physical process, presume this used chance, rolling of dumball, what is this, what does it record, how is it in places so light & fluid if created with heavy object",3,3,4,3,0,4,4,0,5,0,0,0,False,False,False,False
309,311,Michael Krebber ,Untitled (1),,Greene Naftali Gallery and MoMA,Germany,False,painting,"painting, lacquer on canvas",160 x 120 cm,2013,"spray paint, empty space, pixelation, minimal means, sense of shading creates odd space, what is it, how is it made, what are the space & objects depicted",1,0,5,5,0,0,3,5,5,3,3,0,False,False,False,False
310,312,Glenn Ligon,Study for Black Like Me. #2,,MoMA,America,True,painting,"painting, oilstick on paper",81 x 38 cm,1992,"overlapping text, smudging paint, black all-capital oil-stick stenciled letters, repeated text, maybe slightly closer towards the bottom, definitely much darker, smudged ground & hard to read text",3,0,4,5,0,0,1,3,5,5,5,0,False,False,False,True
311,313,Al Taylor,Untitled,,MoMA,America,False,sculpture,"sculpture, wooden broomsticks w/ enamel paint mounted on formica laminate",152 x 89 x 56 cm,1988,"suspension, use of paint to change look of object, can't quite work out what this wrapped item is or how handle holds up, complex, folded up lines",4,0,1,3,0,4,3,0,5,0,3,5,False,False,False,False
312,314,Hannah Wilke ,Hername,,MoMA,America,True,print,"print, sixteen etchings on one sheet",93 x 67 cm,1991,"self-description using text, words like ""epiphany,"" ""chance"" & ""thank you"" which include the letters ""h,"" ""a"" & ""n."" She stacked 6 copies of each phrase, shifting them left & right, capitalizing the key letters so each vertical block spells ""HANNAH"". From distance this capitalization reads as a darker vertical line crossing at different points & each block reads as an arrow. Small size of letters in relation to paper & value are quiet but maybe not uncertainty though",0,4,4,0,0,0,0,3,5,0,5,0,False,False,False,True
313,315,John Cage,River Rock and Smoke 4/13/90 #5,conceptual,MoMA,America,False,painting,"painting, soot & watercolor on paper",133 x 38 cm,1990,"called 'River Rock and Smoke', materials are soot & watercolor, empty space, placement of shape of rock at bottom of vertical seen against vaporous, light marks; here chance operations are performed by smoke settling in the fibers of the paper to imprint swirling structures - demonstrates the interaction of the 4 elements: earth, air, fire, & water. use of chance & systems in his work",3,0,4,4,0,0,2,0,0,5,3,0,False,False,False,False
314,316,John Cage ,IX from Mushroom Book,conceptual,MoMA,America,True,print,"print, lithograph",57 x 51 cm,1972,"overlapping text & erasure & different angles & writing off the page, all directions",3,0,3,1,0,4,1,0,5,0,5,0,False,False,False,True
315,317,David Rabinowitch,Helleboros,,MoMA,Canada,False,drawing,"drawing, charcoal & crayon on paper",203 x 229 cm,1990,"repetition & incompleteness, floating repeated varying lines, sense of handmade, uneven edges, varying weights, thick charcoal & thin crayon markmaking",4,2,4,4,0,0,0,0,5,0,0,3,False,False,False,False
316,318,Gerhard Richter ,24.4.90,conceptual,MoMA,Germany,False,drawing,"drawing, pencil on paper",21 x 30 cm,1990,"illusion, possible folds in paper / erasure lines, shadows, varied line orientation, hard to tell the space, lines over the points, different systems",2,2,4,5,0,2,2,3,5,5,0,3,False,False,False,False
317,319,Philip-Lorca diCorcia,"William Charles Everlove; 26 years old; Stockholm, Sweden via Arizona; $40",,MoMA,America,False,photography,"photo, chromogenic color print",60 x 89 cm,1992,"theatrically constructed photos, storytelling, unstable meaning, hard to tell if person is inside or out (reflection), call into question normal relationship of appearance to truth in photography",4,0,2,0,2,0,4,0,0,5,5,0,False,False,True,False
318,320,"Tim Rollins, K.O.S. (Kids of Survival) ",VIII from The Temptation of Saint Antony I-XIV,,MoMA,America,True,print,"print, one from a portfolio of 14 aquatints on xerograph with chine collÌ©",21 x 14 cm,1989,"overlapping, abstract & text combined, K.O.S. is a group, fyi. Interesting use of texture over text - poured opposite way - to give unsettling effect",4,0,2,4,0,2,3,5,5,5,5,0,False,False,False,True
319,321,Alan Saret ,Untitled,,James Cohan Gallery also MoMA,America,False,sculpture,"sculpture, tin coated copper wire",105 x 31 x 28 cm,c. 1975,"abstract, suspended, lightweight, partially see-through, different weights of wire, delicacy & suggestion & searching quality to this work",4,4,4,3,0,4,4,0,5,0,0,5,False,False,False,False
320,322,Gego (Gertrud Goldschmidt),"Ledge II, no. 88/37",,MoMA,Germany,False,sculpture,"sculpture, steel, lead & plastic",200 x 40 x 40 cm,1988,"suspended, combination of materials, varied quality of lines, dense wire activity, description of almost architectural shape, plastic tubes connecting each of the 4 areas",4,3,3,3,0,4,4,0,5,0,0,5,False,False,False,False
321,323,Michael Heizer,Levitated Mass,,Gagosian also MoMA,America,False,sculpture,"sculpture, diorite granite, concrete",13900 x 670 x 1080 cm,2012,"very heavy large rock, balanced across slanted walkway between 2 walls, looks placed precariously",5,4,0,4,0,0,1,0,0,5,5,5,False,False,False,False
322,324,Fred Sandback,"Untitled (Fourth of Ten Corner Constructions, Sculptural Study, Yellow Version)",,David Zwirner also MoMA,America,False,sculpture,"sculpture, gold acrylic yarn",247 x 78 x 178 cm,c.1981,"placing of parallel lines across a corner to convey sense of an outlined space, openness of space described by yarn, position off the ground & across the corner",5,3,2,2,1,2,2,0,5,0,0,5,False,False,False,False
323,325,Harry Callahan,Detroit,,MoMA,America,False,photography,"photo, gelatin silver print",8 x 11 cm,1943,"repetition, overlaying & semi-transparent, multiple techniques (transparency, repeating, overlaying images) which creates some uncertainty",3,0,4,2,0,0,2,0,3,5,5,3,False,False,False,False
324,326,Georg Herold ,Earthquake Piece,,MoMA,Germany,False,photography,"photo, photolithograph",48 x 70 cm,1989,"repetition of partial images of forehead frown lines in grid format, different shapes, selection of foreheads only, interesting cut-off images in repeated format, not quite uncertain but interesting idea for uncertainty",2,1,1,0,0,0,4,0,0,5,5,0,False,False,False,False
325,327,Not Vital,Untitled,,MoMA,Switzerland,False,painting,"painting, synthetic polymer paint and oil stick on paper",192 x 153 cm,1984,"half abstract, half representational, markmaking, sparseness of objects, different handling of paint, hard to tell what objects are",1,1,1,4,0,0,4,0,5,5,3,0,False,False,False,False
326,328,Joseph Beuys,I Like America and America Likes Me,,Tate also MoMA,Germany,False,photography,"photo, still image of 3 day performance",3 days,1984,"threat of combination of coyote & human, 3 days performance in room w/ coyote",4,0,0,0,0,0,3,0,0,5,5,5,False,True,False,False
327,329,George Maciunas,Same Card Flux Deck,fluxus,MoMA,  Lithuania / America,True,sculpture,"sculpture, plastic box with offset label, containing 52 identical cards",8 x 9 x 3 cm,1983,"repetition of cards, impossible to find in a deck, know that there aren't identical cards in a pack",0,0,0,0,0,0,4,0,0,5,5,5,False,False,False,True
328,330,Jan Tarasin,Beach,,MoMA,Poland,False,print,"print, screenprint",35 x 50 cm,1983,"multiple small, overlayered shapes, repetition, 2 colors, interesting way that 2 different kinds of imagery (symbols & representational) are overlaid in linear repetition",4,0,1,0,1,0,4,5,5,5,5,0,False,False,False,False
329,331,Jake Berthot,Third House for Edgar Hofschen #3,,MoMA,America,False,drawing,"drawing, ink & pencil on paper",35 x 56 cm,1979,"hand-drawn scribbled marks, thin layers of wash, quality of ink drawing line, searching shaky drawn line in different directions over washy ground, hard to define",2,0,2,3,0,0,4,0,5,5,0,0,False,False,False,False
330,332,Nasreen Mohamedi ,Untitled,,MoMA,India,False,drawing,"drawing, pencil & ink on graph paper",18 x 18 cm,c.1977,"parallel, angled, differences in repetition, layering of systems, on gridded paper, light marks against light grid w/ some darker lines, lightness of touch, layering of lines at 2 angles & horizontal",1,1,4,1,0,3,0,0,5,0,0,0,False,False,False,False
331,333,Nam June Paik,Untitled,fluxus,MoMA,Korea / America,True,sculpture,"sculpture, player piano, 15 televisions, 2 cameras, 2 laser disc players, 1 electric light & light bulb, & wires",254 x 267 x 122 cm,1993,"multiple monitors on top of - self-playing - player piano, moving images, balancing, moving videos, screens piled on top of each other, different ways up, video of closeups of the self-playing piano",4,1,0,1,1,3,4,0,0,5,5,5,False,True,False,True
332,334,Marcel Broodthaers ,Un coup de dés jamais n'abolira le hasard (A throw of the dice will never abolish chance),conceptual,MoMA,Belgium,False,print,"print, mechanical engraving & paint on 12 aluminum plates",32 x 50 x 0.3 cm,1969,"blocking out lines of text, erasure, varying widths, lines over writing, what is underneath, here shows one in sequence of 12",4,1,0,1,0,0,2,0,5,3,0,0,False,False,False,False
333,335,Arman,I Still Use Brushes,,MoMA,France / America,False,sculpture,"sculpture, brushes embedded in plastic, in acrylic box",203 x 203 cm,1969,"repetition of real objects in plastic, multiple paintbrushes, different shapes & sizes, all same color handle, laid out in parallel, in rows partly overlaid, accumulations, encased within somewhat gooey, off-white plastic, in box",4,2,0,3,0,3,3,0,5,5,5,5,False,False,False,False
334,336,Brion Gysin ,Plateau Beaubourg,,MoMA,UK,False,drawing,"drawing, ink & cut-and-pasted gelatin silver prints on paper",28 x 32 cm,1974,"repetition, different sizes & scales, some overlapping, sense of collage, different lines & areas overlapping, complex spatial effects",4,1,3,4,0,2,4,0,5,5,5,0,False,False,False,False
335,337,Paul Thek,_Fishman in Excelsis Table_,,Whitney also MoMA,America,False,sculpture,"sculpture, mixed media: wood, latex, wax, metal, paint, fabric, string, & Styrofoam",75 x 90 x 239 cm,1971,"suspension & materials, suspended table high up near ceiling, materials bound under table cloth hanging down, old materials, skeleton, body parts, represent effigy of Thek surrounded by fish & looking like Christ, aka the fisherman",4,2,0,3,0,0,4,0,3,5,5,5,False,False,False,False
336,338,Mira Schendel ,Untitled from the series Graphic objects (Objetos gráficos),,MoMA,Switzerland / Brazil,True,drawing,"drawing, graphite, transfer type, and oil on paper between
transparent acrylic sheets with transfer type",100 x 100 x 1 cm,1967,"overlaying, scale, use of backwards & forwards letters, repetition w/ different sizes & values, mix of letters, cartographic symbols & sense of landscape, spatial effects",4,4,4,2,0,2,4,3,5,3,3,3,False,False,False,True
337,339,Dick Higgins,Symphony #269 from The Thousand Symphonies,fluxus,MoMA,UK,True,drawing,"drawing, spray paint on 3 sheets of offset printed musical composition paper",57 x 45 cm,1968,"spraying / pouring, sprayed splotches on top of music lines, spatial effects",2,1,1,4,1,0,3,0,5,5,0,0,False,False,False,True
338,340,James Boynton ,Untitled,,MoMA,America,False,print,"print, lithograph",28 x 26 cm,1967,"shadow & sense of suspension, placing sphere in 'box' w/ shadow as if suspended, textural quality of sphere",4,0,0,4,0,0,2,0,5,5,3,0,False,False,False,False
339,341,Paul Sharits,Spasmatic Pain I (Boulder Community Hospital),,MoMA,America,False,drawing,"drawing, felt-tip pen on paper",72 x 51 cm,1981,"overlapping zig-zag lines largely going across the drawing paper, confusing space, quality of marks, particular colors, what are these lines, are they drawn left handed, are some of them very scrawled signatures?",2,1,0,0,3,2,5,3,5,0,0,0,False,False,False,False
340,342,Sheila Hicks ,Unfinished Conversation,,SIkkema Jenkins Gallery also MoMA,America,False,painting,"painting, wool, linen, wood, aluminum",105 x 105 cm,2015,"half woven & half not, use of one color, 'basic' use of materials, jagged sides of woven horizontal shape, not really a painting, a sculpture or an object, more of a woven piece",2,1,3,4,0,1,3,0,5,5,0,5,False,False,False,False
341,343,Hi Red Center,Canned Mystery,fluxus,MoMA,Japan,True,sculpture,"sculpture, sealed metal can with label, containing unknown contents",8 x 7 x 7 cm,1964,"group - use of red exclamation symbol onclosed object, can, creates questions/ uncertainty",2,1,0,2,3,1,4,0,0,5,5,5,False,False,False,True
342,344,Lucio Fontana ,Concetto Spaziale from Six Original Etchings (Sei Acqueforti Originali),,MoMA,Argentina / Italy,False,print,"print, one from a portfolio of 6 etchings with embossing",64 x 50 cm,1964,"appearance of differently shaped holes, gorged, almost in 4 columns starting at different heights, scored surface lines describing oval around the holes and selectively placed parallel lines; surface appears to be pierced through forcefully, how made, why made, what do they represent",2,1,1,4,0,0,4,5,3,5,0,3,False,False,False,False
343,345,Heinz Mack,Untitled,ZERO,MoMA,Gernany,False,print,"print, lithograph",27 x 32 cm,1961,"op, light & kinetic art, here parallel, jagged lines, quality of lines, optical almost blurring effect, repetition of very close thin lines, path of each wavering line",4,2,1,1,0,3,4,0,5,0,0,3,False,False,False,False
344,346,Jean Tinguely,Fragment from Homage to New York,,MoMA,Switzerland,False,sculpture,"sculpture, painted metal, fabric, tape, wood, & rubber tires",204 x 75 x 223 cm,1960,"this is one small piece of huge self-destructing machine, ÛÏself-constructing and self-destroying work of art,Û which was set in motion in MoMA's sculpture garden during performance, sound, painted, moved, explosion, color smoke; performance stopped by fire dept, this piece includes some bicycle parts, multiple wheels, seat, paint can, long arching rod",4,0,0,2,0,2,4,0,5,5,3,5,False,True,False,False
345,347,Jean Dubuffet ,Four Scribbles (Quatre gribouillis),,MoMA,France,True,drawing,"drawing, ink on paper",27 x 21 cm,1960,"lettering, repetition, overlaying of scribbled writing each almost forming oval shape, suspended in 4 areas one on top of each other, faint backwards letters in some places (on back of paper?)",4,1,1,2,0,2,4,0,5,0,5,0,False,False,False,True
346,348,Otto Piene ,Untitled (Smoke Drawing),kinetic art,MoMA,Germany,False,drawing,"drawing, soot on paper",51 x 73 cm,1959,"use of soot, repetition & overlapping, quality of material & varying repetition, seems volumetric, darker where overlapped, layers of holes across paper creating shape, uneven edge along the bottom",4,0,2,4,0,0,0,5,0,3,0,3,False,False,False,False
347,349,Alberto Giacometti,Point to the Eye,,MoMA,France,False,sculpture,"sculpture, wood & metal",12 x 61 x 36 cm,1932,"suspended in mid-air, and semi-abstract, what is it, surrealist, what seems to describe a tiny head w/ a long shank of plaster, something like a tusk, very nearly jabbing it in the eye, uncomfortable relation of objects to each other",4,0,0,1,0,0,4,0,3,5,3,5,False,False,False,False
348,350,Francis Thompson,Concave Orange with Hole on Plate,,MoMA,America,False,photography,"photo, chromogenic color print",23 x 33 cm,1959,"distortion, can't fully recognize objects",2,0,0,0,0,2,4,0,0,5,5,0,False,False,False,False
349,351,Joseph Cornell,Untitled (Dieppe),,MoMA,America,True,sculpture,"sculpture, mixed media: wood box w/ glass over painted background containing corkball, metal rods, metal bracelet, nails, & stamp, w/ book pages on reverse",20 x 32 x 10 cm,c. 1958,"ÛÏshadow boxes become poetic theater or settings wherein are metamorphosed the elements of a childhood pastime. The fragile, shimmering globules become the shimmering but more enduring planetsÛÓa connotation of moon and tidesÛÓthe association of water less subtle, as when driftwood pieces make up a proscenium to set off the dazzling white of sea foam and billowy cloud crystallized in a pipe of fancy.Û  Among the earliest examples of assemblage; surrealist, unexpected juxtapositions, here ball on rails & suspended circle w/ empty space, hard to fathom",2,1,0,1,0,0,4,0,5,5,5,5,False,False,False,True
350,352,Forrest Bess,Untitled,,MoMA,America,False,painting,"painting, oil on canvas with wood frame",25 x 36 cm,1957,"line suspended into empty space, illusion of deep recession, line w/ 2 half stripes on it - train tracks - curved, suspended, gets smaller, going into empty space / setting sun above the horizon",4,2,2,1,3,4,4,0,5,5,3,3,False,False,False,False
351,353,Merce Cunningham,Suite by Chance (Movement Chart II C-D-E Extensions),,MoMA,America,True,drawing,"drawing, ballpoint pen & pencil on graph paper",18 x 17 cm,1952,"repetition, grid, notations, words, erasure, scribbles, choice, multidirection notation on squared paper, use of chance, choreographic chart to follow for performance - movement chart II. ÛÏchoreography by chance,Û a technique in which selected isolated movements are assigned sequence by such random methods as tossing a coin - in Suite by Chance the movement patterns themselves were so constructed",0,0,1,0,0,4,4,0,5,0,5,0,False,False,False,True
352,354,Julius Bissier,Untitled,,MoMA,Germany,False,print,"print, lithograph",size unknown,1950,"large isolated, abstract marks, looks as if it is made with brush even though it is a lithograph, hard to tell what the shapes are, leaning, thinner lines & larger areas, textural",2,0,3,3,0,2,4,0,5,5,0,0,False,False,False,False
353,355,Philip Guston,Untitled,,MoMA,America,False,painting,"painting, synthetic polymer paint on paper",76 x 102 cm,1963,"overlayering, cross hatching, smudging, hard to tell what the 2+ shapes are, they are partly being encroached on by brushstrokes, overlaid space, painting doesn't go to edge, energetic thick brushstrokes, space inbetween brushstrokes so ground and shapes are not solid",2,0,2,3,2,3,4,0,5,3,0,0,False,False,False,False
354,356,Sylvia Wald,Spirit's Constellation,,MoMA,America,False,print,"print, serigraph, printed in color",39 x 52 cm,1952,"overlaying & texture, liquid materials, vaporous shapes, crisp parallel small notations grouped in different orientations almost looks like closeup of textural wool or scientific cells, partly curving out in different directions from center, one splash of color, hard to tell what the space is & what it is",3,2,1,3,1,3,4,3,5,5,0,3,False,False,False,False
355,357,Louise Bourgeois,Untitled,,MoMA,France / America,False,drawing,"drawing, ink, charcoal, & gouache on paper",50 x 65 cm,1949,"repetition of slightly curving leaning shapes w/ one side w/ parallel lines; blank spaces, one spot of color, use of space & repeated shapes (figures / trees / knives?) & one area of color which is hard to define, lines made with range of materials, hard to tell what the repeated vertical shapes represent / describe or the parallel fainter horizontal directional lines. some shapes go from top to bottom, most are much less tall",2,1,2,3,1,4,4,0,5,3,0,0,False,False,False,False
356,358,Alexander Calder,The Bicycle,kinetic art,MoMA,France,False,sculpture,"sculpture, wood, metal, motor, cord, & steel wire",156 x 150 x 66 cm,1968,"motor driven sculpture, machine, light suspended parts, small moving parts, kinetic machine",4,1,1,0,0,4,1,0,0,0,0,5,False,True,False,False
